id,script,inflection,comment
3025,first class accomodation is situated towards the rear,,
3026,standard class accomodation is towards the front,,
3027,standard class accomodation is towards the front of the train,,
3028,please note that this train will today not call at,s,
3029,we regret that cycles or large items of luggage,s,
3030,may not be conveyed by this special bus service,e,
3031,please note,s,
3032,first class accomodation is situated towards the front,s,
3033,standard class accomodation is towards the rear,,
3034,this train will call at stations with short platforms,w,
3035,please listen for announcements on board the train,w,
3036,this train will be calling at stations with short platforms,w,
3038,a signal failure,e,
3039,adverse weather conditions,e,
3040,emergency engineering work,e,
3041,overrunning engineering work,e,
3042,a landslide,e,
3043,a landslip,e,
3044,a road vehicle striking a railway bridge,e,
3045,a line blockage,e,
3046,flooding on the line,e,
3048,a signal failure,m,
3049,adverse weather conditions,m,
3050,emergency engineering work,m,
3051,overrunning engineering work,m,
3052,a landslide,m,
3053,a landslip,m,
3054,a road vehicle striking a railway bridge,m,
3055,a line blockage,m,
3056,flooding on the line,m,
3057,flooding,m,
3058,flooding,e,
3059,mechanical problems with the train,m,
3060,mechanical problems with the train,e,
3061,electrical problems with the train,m,
3062,electrical problems with the train,e,
3063,delay to a preceding train,m,
3064,delay to a preceding train,e,
3066,stand well away from the train at platform,s,
3067,this train is not for public use,e,
3068,please do not join the train at platform,s,
3069,this train is being cleaned and prepared for its next service,e,
3070,a further announcement will be made when this train is ready for you to board,w,
3072,due to a security alert at this station,s,
3073,customers are advised to evacuate the station by the nearest exit,e,
3074,apologise to customers,m,
3075,waiting for trains at this station,e,
3076,due to operational problems,s,
3077,may be subject to delay,e,
3078,services between,s,
3081,a fallen tree on the line,m,
3082,an accident on a level crossing,m,
3083,animals on the track,m,
3084,debris blown on the line,m,
3085,a suspected fatality,m,
3086,a customer having been taken ill on this train,m,
3087,a customer having been taken ill on a preceding train,m,
3088,police attending a disturbance on this train,m,
3089,police attending a disturbance on a preceding train,m,
3091,suspected terrorist threat,m,
3092,police persuing suspects on the line,m,
3093,a temporary fault with the signalling equipment,m,
3094,a temporary speed restriction,m,
3095,signalling equipment repairs,m,
3096,track repairs,m,
3097,awaiting a member of the train crew,m,
3098,heavy rain,m,
3099,snow,m,
3100,fog,m,
3101,high winds,m,
3102,the extreme heat,m,
3103,a late-running preceding service,m,
3104,a fault on this train which is being attended to,m,
3105,a fault on this train which cannot be rectified,m,
3106,a fault on a preceding train,m,
3107,slippery rail conditions,m,
3108,a broken down preceding train,m,
3109,an electrical power supply problem,m,
3110,an electrical power supply problem,e,
3111,virgin voyager,m,
3112,virgin pendolino,m,
3113,virgin voyager,e,
3114,virgin pendolino,e,
3119,is being delayed,m,
3120,is being delayed,e,
3125,customers alighting at,,
3126,may i have your attention please,w,
3127,there is a fault on the computer,s,
3128,controlling the information system at this station,e,
3129,our contractors have been called to attend to the fault,s,
3130,and in the interim period,m,
3131,i will try to keep you informed as much as possible,e,
3132,please note that all stations on this line are affected but,,
3133,and the amount of announcements made at each station will be reduced,,
3134,please take care to check the destination sign on the front of your train,s,
3135,as it approaches the platform,e,
3141,time of this train,m,
3143,due to a temporary fault on the station lighting,e,
3145,due to freezing conditions the platform surfaces may be slippery,w,
3147,the approaching train is not scheduled to stop at this station,w,
3148,this is,s,
3151,stand away from the train at,s,
3153,this train is not in use,e,
3156,where the train will then terminate due to engineering work,e,
3157,a replacement bus service will then continue to,s,
3158,where the train will restart for,m,
3181,a fallen tree on the line,e,
3182,an accident on a level crossing,e,
3183,animals on the track,e,
3184,debris blown on the line,e,
3185,a suspected fatality,e,
3186,a customer having been taken ill on this train,e,
3187,a customer having been taken ill on a preceding train,e,
3188,police attending a disturbance on this train,e,
3189,police attending a disturbance on a preceding train,e,
3191,suspected terrorist threat,e,
3192,police persuing suspects on the line,e,
3193,a temporary fault with the signalling equipment,e,
3195,signalling equipment repairs,e,
3196,track repairs,e,
3197,awaiting a member of the train crew,e,
3198,heavy rain,e,
3199,snow,e,
3200,fog,e,
3201,high winds,e,
3202,the extreme heat,e,
3203,a late-running preceding service,e,
3204,a fault on this train which is being attended to,e,
3205,a fault on this train which cannot be rectified,e,
3206,a fault on a preceding train,e,
3207,slippery rail conditions,e,
3208,a broken down preceding train,e,
3219,please note that it is illegal to ride bicycles,s,
3220,skateboards or to use rollerblades on the station,m,
3221,it can be dangerous and is illegal,e,
3227,please note that this train,s,
3228,will not call at,m,
3230,coach,e,
3231,coach,m,
3232,attention please here is a special announcement,w,
3233,to all our customers on the station today,e,
3234,there are a group of people in and around the station area,s,
3235,who are regularly asking for money,e,
3236,please do not give these people money,w,
3237,"if you are approached, please contact the british transport police",s,
3238,located on platform 1a,e,
3239,WLI,e,
3240,WCY,e,
3241,WHP,e,
3242,WNW,e,
3243,WLD,e,
3244,WSU,e,
3245,ZLW,e,
3246,WHS,e,
3247,WHY,e,
3248,WBO,e,
3249,WOH,e,
3250,WME,e,
3251,HYR,e,
3252,HEV,e,
3253,HIB,e,
3254,HLM,e,
3255,HPA,e,
3256,HSY,e,
3257,HUR,e,
3258,KLY,e,
3259,KND,e,
3260,LYE,e,
3261,LWS,e,
3262,LFD,e,
3263,MHM,e,
3264,thames trains,m,
3265,wales and west,m,
3266,cardiff railways,m,
3267,central trains,m,
3268,first great western,m,
3269,first great western golden hind,m,
3270,first great western royal duchy,m,
3271,first great western royal wessex,m,
3272,first great western mayflower,m,
3273,first great western cornish riviera,m,
3274,first great western night riviera,m,
3275,first great western atlantic coast express,m,
3276,first great western intercity,m,
3277,first great western red dragon,m,
3278,first great western st david,m,
3279,first great western hibernian,m,
3280,first great western cathedrals express,m,
3281,first great western bristolian,m,
3282,first great western cheltenham spa express,m,
3283,first great western cheltenham flier,m,
3284,first great western pembroke coast express,m,
3285,first great western torbay express,m,
3286,first great western devon belle,m,
3287,first great western merchant venturer,m,
3288,virgin trains devon scot,m,
3289,virgin trains dorset scot,m,
3290,virgin trains sussex scot,m,
3291,virgin trains midland scot,m,
3292,virgin trains wessex scot,m,
3293,virgin trains cornish scot,m,
3294,virgin trains cornishman,m,
3295,virgin trains devonian,m,
3296,virgin trains pines express,m,
3297,virgin trains armada,m,
3298,wales and west weymouth sand and cycle explorer,m,
3299,tarka line,m,
3300,suspected damage to a railway bridge by a road vehicle,m,
3301,failure of a preceding train,m,
3302,extreme weather conditions,m,
3303,an accident to a member of the public,m,
3304,the unfortunate action of vandals,m,
3305,children playing near the line,m,
3306,the advice of the emergency services,m,
3307,an obstruction on the line,m,
3308,awaiting a connecting service,m,
3309,a technical fault to lineside equipment,m,
3310,a passenger requiring urgent attention,m,
3312,club class is located in coach a,m,
3313,the quiet coach is located in coach b,m,
3314,f g and j,e,
3315,f g h and j,e,
3316,first accomodation,s,
3317,is located in coaches f and g,e,
3318,m's bar is available (?),e,
3319,an m's bar is available (?),e,
3323,first accomodation is located in coaches,s,
3324,on this service,e,
3325,is located in coaches,m,
3326,the quiet coach is located in coach f,w,
3327,is located in coach j,e,
3328,and coach d is the quiet coach,m,
3329,on this service,e,
3336,northern spirit,e,
3337,connex south central,e,
3338,connex metro,m,
3339,south london metro,e,
3340,croydon tramlink,e,
3341,tramlink,e,
3342,london underground,e,
3343,london underground east london line,e,
3344,diverted,e,
3345,racecourse special,e,
3346,additional football special,e,
3347,london underground northern line,e,
3348,london underground circle and district line,e,
3349,london underground northern line via london bridge,e,
3350,london underground victoria circle and district line,e,
3351,COL,e,
3352,club class accomodation coaches f and g,m,
3353,club class accomodation coach j,m,
3355,MIJ,e,
3356,MDS,e,
3357,MCB,e,
3359,DYC,e,
3360,INR,e,
3361,INS,e,
3362,HNT,e,
3363,KEH,e,
3364,ELG,e,
3365,FOR,e,
3366,NRN,e,
3369,DBG - Dunbridge,e,
3370,NVH,e,
3371,NVN,e,
3372,NRB,e,
3373,NDL,e,
3374,NWD,e,
3375,NUF,e,
3376,OLY,e,
3377,OXT,e,
3378,PDW,e,
3379,PMR,e,
3380,PNW,e,
3381,PHR,e,
3382,PET,e,
3383,PEV,e,
3384,PEB,e,
3385,PMP,e,
3386,PLG,e,
3387,PUO,e,
3389,QRP,e,
3390,"REE,RHM",e,
3391,REI,e,
3392,Streetly,e,
3393,RDD,e,
3394,SAF,e,
3395,SNR,e,
3396,SEF,e,
3397,alphaline,m,
3398,DFI,e,
3399,private charter train,m,
3400,suspected damage to a railway bridge by a road vehicle,e,
3401,failure of a preceding train,e,
3402,extreme weather conditions,e,
3403,an accident to a member of the public,e,
3404,the unfortunate action of vandals,e,
3405,children playing near the line,e,
3406,the advice of the emergency services,e,
3407,an obstruction on the line,e,
3408,awaiting a connecting service,e,
3409,a technical fault to lineside equipment,e,
3410,a passenger requiring urgent attention,e,
3415,club class is located in coach a,e,
3416,the quiet coach is located in coach b,e,
3428,MTC,e,
3433,or advise a member of midland mainline staff,e,
3435,allow customers to alight from the train before attempting to board,w,
3436,note that there is more room towards the front of the train,w,
3437,note that there is more room towards the rear of the train,w,
3438,have your tickets ready for inspection on this train,w,
3439,stand back from the platform edge before your train comes to a complete halt,w,
3440,this train stops here to set down passengers only,w,
3441,first class accomodation on this train,m,
3442,business standard accomodation is situated in the,m,
3443,a restaurant service is situated in the,m,
3444,a family carriage is situated in the,m,
3445,a weekend first facility is situated in the,m,
3446,all customers for this service must be in posession of a seat reservation,w,
3447,today this service will operate only as far as,s,
3448,can be used by standard class ticket holders,e,
3449,a buffet service is situated in the,m,
3450,first class accomodation is situated at the,m,
3451,business standard accomodation is situated at the,m,
3452,a buffet service is situated at the,m,
3453,a restaurant service is situated at the,m,
3454,a family carriage is situated at the,m,
3455,a weekend first facility is situated at the,m,
3456,first class accomodation is situated in the,m,
3457,please move well into the train to allow others to board,w,
3459,scotrail,e,
3490,im sorry to inform you,s,
3491,there is no first class accomodation on this train,e,
3492,there is no standard class accomodation on this train,e,
3493,there is no smoking accomodation on this train,e,
3494,there is no catering service on this train,e,
3496,scotrail express,e,
3497,intercity charter train,e,
3498,regional railways charter train,e,
3499,west yorkshire metro train,e,
3500,ALF,e,
3501,AHS,e,
3503,AHS - Surrey,e,
3504,ABW,e,
3505,Addiscombe,e,
3506,ASN,e,
3507,ADM,e,
3508,AYP,e,
3509,AHT,e,
3510,AON,e,
3511,ANZ,e,
3512,APD,e,
3513,ACT,e,
3514,ASH,e,
3515,AHV,e,
3516,AFS,e,
3517,AFK - Ashford Kent,e,
3518,AFS - Middlesex,e,
3519,AFK,e,
3520,BOG,e,
3522,BMC,e,
3523,BAG,e,
3524,BAB,e,
3525,BAL,e,
3526,BAD,e,
3527,BMG,e,
3528,BNH,e,
3529,BNS,e,
3530,BNI,e,
3531,BBL,e,
3532,BAK,e,
3533,BAT,e,
3534,BSD,e,
3535,BEC,e,
3536,BKJ,e,
3537,BKS,e,
3538,BGM,e,
3539,BLM,e,
3540,CLR,e,
3541,CUW,e,
3542,CLH,e,
3543,CAM,e,
3544,CBE,e,
3545,CBW,e,
3546,CSH,e,
3547,CSB,e,
3548,CAT,e,
3549,CTF,e,
3550,CFB,e,
3551,CHG,e,
3552,CTN,e,
3553,CRT,e,
3554,CTM,e,
3555,CHE,e,
3556,CLD,e,
3557,CHY,e,
3558,CSN,e,
3559,CSS,e,
3560,CSW - Chestfield,e,
3561,CIL,e,
3562,CHL,e,
3563,CHP,e,
3564,CHK,e,
3565,DNN,e,
3566,DKR,e,
3567,DWN,e,
3568,DFD,e,
3569,DAT,e,
3570,DEA,e,
3571,DMK,e,
3572,DEP,e,
3573,DLH,e,
3574,DKG,e,
3575,DPD,e,
3576,DKT,e,
3577,DMS,e,
3578,DVP,e,
3579,DMP,e,
3580,DNG,e,
3581,EAD,e,
3582,"ELD,EWD",e,
3583,EAR,e,
3584,ECR,e,
3585,EDW,e,
3586,EFL,e,
3587,EGR,e,
3588,EML,e,
3589,EBN,e,
3590,FLS,e,
3592,FCN,e,
3593,FMR,e,
3594,FNN,e,
3595,FNH,e,
3596,ALM,e,
3597,ACK,e,
3598,ALW,e,
3599,Armley,e,
3600,EDN,e,
3601,EBR,e,
3602,EBT,e,
3603,EFF,e,
3604,EGH,e,
3605,EPH,e,
3606,ELE,e,
3607,ELW,e,
3608,EPS,e,
3609,EPD,e,
3610,ERI,e,
3611,ERH,e,
3612,ESH,e,
3613,ETC,e,
3614,EWE,e,
3615,EWW,e,
3616,EYN,e,
3617,ABY,e,
3618,ABY - for Bellvue,e,
3619,BTT,e,
3620,BLL,e,
3621,BIA,e,
3622,BLO,e,
3623,"BMP,BRP",e,
3624,CSM,e,
3625,CHT,e,
3626,COM,e,
3627,CRB,e,
3628,DNY,e,
3629,DND,e,
3630,Dobbs Brow,e,
3631,Droylsden,e,
3632,DOT,e,
3633,EGT,e,
3634,Elland,e,
3635,GLS,e,
3636,GTA,e,
3637,CRM,e,
3638,GMT,e,
3639,GYP,e,
3640,HOD,e,
3641,HID,e,
3642,HTW,e,
3643,HLY,e,
3644,HWH,e,
3645,HDB,e,
3646,HEI,e,
3647,KLD,e,
3648,LHM,e,
3649,Liverpool,e,
3650,MUF,e,
3651,ING,e,
3652,MTO,e,
3653,Milnsbridge (?),e,
3654,MSH,e,
3655,NCL - Newcastle Central,e,
3656,NRD,e,
3657,NNT,e,
3658,PEG,e,
3659,PRU,e,
3660,"JOH,JHN",e,
3661,RDM,e,
3662,RUS,e,
3663,SHD,e,
3664,SLH,e,
3665,SKS,e,
3666,TEA,e,
3667,Thornhill,e,
3668,WRL,e,
3669,WDD,e,
3670,WGN,e,
3671,WYM,e,
3672,YRM,e,
3680,KGT,e,
3681,KGH,e,
3682,KGE,e,
3683,KIN,e,
3684,KKN,e,
3689,FNR,e,
3690,FAV,e,
3692,FOH,e,
3693,FRT,e,
3694,FML,e,
3695,FLW,e,
3696,GIL,e,
3697,GLM,e,
3698,GIP,e,
3699,GLY,e,
3700,LAM,e,
3701,LHO,e,
3702,VIC,e,
3703,WAT,e,
3704,LBT,e,
3705,LNZ,e,
3706,LIN,e,
3707,LSN,e,
3708,LVG,e,
3709,LCG,e,
3710,LND,e,
3711,GDN,e,
3712,GOM,e,
3713,GRV,e,
3714,GNH,e,
3715,GNW,e,
3716,HCB,e,
3717,HAI,e,
3718,HMT,e,
3719,HMD,e,
3720,green zone,m,
3721,green zone,e,
3722,HMP,e,
3723,red zone,e,
3725,HNH,e,
3726,HOR,e,
3727,LVM,e,
3728,ACL,e,
3729,ALK,e,
3730,MRB,e,
3731,MLR,e,
3732,MON,e,
3733,MUB,e,
3734,MDL,e,
3735,ATL,e,
3736,BLP,e,
3737,BIN,e,
3738,BTF,e,
3739,DLS,e,
3740,WGT,e,
3741,ASP,e,
3742,MRY,e,
3743,FLM,e,
3744,WKG,e,
3745,HRR,e,
3746,PRN,e,
3747,WTH,e,
3748,BND,e,
3749,BDA,e,
3750,NAR,e,
3751,NEL,e,
3752,NHY,e,
3753,NWR,e,
3754,NBW,e,
3755,NQU,e,
3756,BGA,e,
3757,CWM,e,
3758,PPL,e,
3759,AGV,e,
3760,HFD,e,
3761,LEO,e,
3762,LUD,e,
3763,CRV,e,
3764,CTT,e,
3765,SHR,e,
3766,"WHT,WCH,WTC",e,
3767,NAN,e,
3768,BRW,e,
3770,Oldham,e,
3771,OLM,e,
3772,OLW,e,
3773,KPA,e,
3774,"MAS,MRM",e,
3775,CRM (2),e,
3776,BGG,e,
3777,LCN,e,
3778,BXY,e,
3779,BXH,e,
3780,BFR - Blackfriars,e,
3781,BKA,e,
3782,BGH,e,
3783,BRX,e,
3784,BMS,e,
3785,ZCW,e,
3786,CST - Cannon Street,e,
3787,CHX - Charing Cross,e,
3788,CLP,e,
3789,CRY,e,
3790,PMB,e,
3791,PNA,e,
3792,PIT,e,
3793,PMT,e,
3794,PST,e,
3795,CRI,e,
3796,CFT,e,
3797,Dover,e,
3798,DUR,e,
3799,Eastfields,e,
3800,ELS,e,
3801,EBA,e,
3802,ZFD,e,
3803,FLT,e,
3804,FKC - Folkestone,e,
3805,GBS,e,
3806,HLN,e,
3807,HPD,e,
3808,HEN,e,
3809,KTN,e,
3810,KDB,e,
3811,Kings Cross Thameslink,e,
3812,LAD,e,
3813,LEA,e,
3814,LHD,e,
3815,"LEE,LIH",e,
3816,LEW,e,
3817,CST,e,
3818,CHX,e,
3819,LRB,e,
3820,RGW,e,
3821,ROS,e,
3822,LRD,e,
3823,London Road,e,
3824,WAE,e,
3825,LGJ,e,
3826,LSY,e,
3827,MIL,e,
3828,MTG,e,
3829,NBC,e,
3830,NWX,e,
3831,NEH,e,
3832,NVM,e,
3833,Newhaven,e,
3834,NHD,e,
3835,NXG,e,
3836,ORP,e,
3837,OTF,e,
3838,RDT,e,
3839,RVB,e,
3840,SFD,e,
3841,SDF,e,
3842,SHA,e,
3844,SHS,e,
3845,SLA,e,
3846,SGL,e,
3847,STG,e,
3848,RBR,e,
3849,RTR,e,
3850,AVM,e,
3851,BSI,e,
3852,Barry Lines (?),e,
3853,BHG,e,
3854,BLH,e,
3855,BBG,e,
3856,BLA,e,
3857,BEA,e,
3858,BRC,e,
3859,BYF,e,
3860,BTS,e,
3861,CBL,e,
3862,CMO,e,
3863,CDD,e,
3864,Carlin (?),e,
3865,CAN,e,
3866,CAG,e,
3867,CEA,e,
3868,COW,e,
3869,CRO,e,
3870,UDD,e,
3871,UHA,e,
3872,CUH,e,
3873,DAM,e,
3874,DLW,e,
3875,DRM,e,
3876,DBL,e,
3877,DFE - Dunfermline,e,
3878,DKD,e,
3879,EDB - Edinburgh Waverley,e,
3880,FLD,e,
3881,GLE,e,
3882,GLT - Glenrothes,e,
3883,GLT,e,
3884,GOF,e,
3885,ROE,e,
3886,SEV,e,
3887,SDE,e,
3888,SEH,e,
3889,WHG,e,
3890,WSR,e,
3891,WOR,e,
3892,WAF,e,
3893,WCL,e,
3894,WTA,e,
3895,WBR,e,
3896,BUX,e,
3897,CEF,e,
3898,DVN,e,
3899,DSL,e,
3900,DVH,e,
3901,FNV,e,
3902,GCT,e,
3903,HAZ,e,
3904,HLI,e,
3905,HTC,e,
3906,RSH - Rose Hill,e,
3907,RSH,e,
3908,FIT,e,
3909,SRT,e,
3910,SID,e,
3911,SGR,e,
3912,CDN - Smitham,e,
3913,SBM,e,
3914,SCY,e,
3915,SMO,e,
3916,SEE,e,
3917,SIH,e,
3918,SLQ,e,
3919,SMY,e,
3920,AHD,e,
3921,AYL,e,
3922,AYH,e,
3923,AUR,e,
3924,ADW,e,
3925,BEG,e,
3926,BVD,e,
3927,"BTY,BYK",e,
3928,BRS,e,
3929,BRK,e,
3930,BTO,e,
3931,BEX,e,
3932,BXY,e,
3933,BXH,e,
3934,BKL,e,
3935,BCH - Birchington,e,
3936,BIK,e,
3937,BIP,e,
3938,BAW,e,
3939,BRG - Borough Green,e,
3940,BXW,e,
3941,BCE,e,
3942,"BMY,BLE",e,
3943,BFD,e,
3944,BRX,e,
3945,BSR,e,
3946,BCY,e,
3947,BMN,e,
3948,BMS,e,
3949,BKO,e,
3950,BUG,e,
3951,BXD,e,
3952,BFN,e,
3953,CLA,e,
3954,CLP,e,
3955,CLG,e,
3956,CLK,e,
3957,CSD - Cobham,e,
3958,CSD,e,
3959,CLL,e,
3960,COB,e,
3961,CBR,e,
3962,CDS,e,
3963,CWN,e,
3964,CRY,e,
3965,CFT,e,
3966,COH,e,
3967,CWU,e,
3968,CRN,e,
3969,CYP,e,
3970,CUX,e,
3971,STP - St Pancras,e,
3972,SOG,e,
3973,SRC,e,
3974,SRH,e,
3975,STE,e,
3976,SOO,e,
3977,SQE,e,
3978,SUC,e,
3979,SUO,e,
3980,SAY,e,
3981,SYD,e,
3982,TAD,e,
3983,TAT,e,
3984,TTH,e,
3985,TON,e,
3986,TOO,e,
3987,TUH,e,
3988,TBW,e,
3989,UCK,e,
3990,UWL,e,
3991,WDO,e,
3992,WAD,e,
3993,WLT,e,
3994,WSW,e,
3995,WWR,e,
3996,WPE,e,
3997,WNH,e,
3998,WAE,e,
3999,WAV - Wavertree,e,
4000,APS,m,
4001,AWM,m,
4002,BDK,m,
4003,BNG,m,
4004,BIF,m,
4005,BKM,m,
4006,BIW,m,
4007,BCH,m,
4008,BKH,m,
4009,BLY,m,
4010,BRG,m,
4011,BWO,m,
4012,CPK,m,
4013,CED,m,
4014,CSW,m,
4015,CIT,m,
4016,Dunfermline East,m,
4017,ESD,m,
4018,ELY,m,
4019,FNB,m,
4020,FNB - Farnborough,m,
4021,FKC,m,
4022,FKW,m,
4023,FXN,m,
4024,GSN,m,
4025,GRP,m,
4026,HMT,m,
4027,HDN,m,
4028,HRM,m,
4029,HRW,m,
4030,HTE,m,
4031,HYS,m,
4032,HCN,m,
4033,HDL,m,
4034,HML,m,
4035,HNB,m,
4036,HFN,m,
4037,HGM,m,
4038,HLB,m,
4039,HGR,m,
4040,HBN,m,
4041,HHD,m,
4042,HWI - Bolton,m,
4043,HWI,m,
4044,HOZ,m,
4045,KSN,m,
4046,KTH,m,
4047,KNT,m,
4048,KGL,m,
4049,KBW,m,
4050,KCK,m,
4051,LBZ,m,
4052,LEN,m,
4053,LET - Letchworth,m,
4054,LTP,m,
4055,London Kings Cross St Pancras,m,
4056,LBK,m,
4057,LGF,m,
4058,LTN,m,
4059,MDE,m,
4060,MDB,m,
4061,MDW,m,
4062,MRN,m,
4063,MAR,m,
4064,MTM,m,
4065,MZH,m,
4066,MEL,m,
4067,MEP,m,
4068,MKC,m,
4069,MSR,m,
4070,NEH,m,
4071,NHE,m,
4072,NGT,m,
4073,NFL,m,
4074,NMP,m,
4075,ORE,m,
4076,PKT,m,
4077,PNE,m,
4078,PLU,m,
4079,PBR,m,
4080,QBR,m,
4081,QRB,m,
4082,"RNM,RAI",m,
4083,RAM,m,
4084,RAY,m,
4085,RYS,m,
4086,RUG,m,
4087,RYE,m,
4088,SDG,m,
4089,SDW,m,
4090,SDY,m,
4091,SFR,m,
4092,SSS,m,
4093,SPH,m,
4094,STH,m,
4095,SDC - Shoreditch,m,
4096,SHE,m,
4097,SIT,m,
4098,SDA,m,
4099,SWO,m,
4100,SOR,m,
4101,SOK,m,
4102,SAA,m,
4103,SNO,m,
4104,SPU,m,
4105,SCG,m,
4106,SBP,m,
4107,STU,m,
4108,SUP,m,
4109,SWL,m,
4110,SWM,m,
4111,SYH,m,
4112,TOK,m,
4113,TEY,m,
4114,TRI,m,
4115,WAM,m,
4116,WBC,m,
4117,WTR,m,
4118,WFH,m,
4119,WFJ,m,
4120,WFN,m,
4121,WTG,m,
4122,WGC,m,
4123,WLW,m,
4124,WMB,m,
4125,WDU,m,
4126,WMA,m,
4127,WWI,m,
4128,WCB,m,
4129,WHA,m,
4130,WGA,m,
4131,WHI,m,
4132,WIJ,m,
4133,WSE,m,
4134,WDM,m,
4135,WOL,m,
4136,WWA,m,
4137,WWD,m,
4138,WYE,m,
4139,YAL,m,
4140,WGN,m,
4141,DOW,m,
4142,SAJ,m,
4143,KMS,m,
4144,KML,m,
4145,BFR,m,
4146,Altofts,m,
4147,ANC,m,
4148,CMR,m,
4149,ELO,m,
4150,GNT,m,
4151,HRD,m,
4152,Pope Valley (?),m,
4153,KTL,m,
4154,LAK,m,
4155,LGD,m,
4156,MNE,m,
4157,MCH,m,
4158,MKR,m,
4159,NLS,m,
4160,the bluebell steam railway,m,
4161,epsom races,m,
4162,goodwood races,m,
4163,south west trains services,m,
4164,the west country,m,
4165,south wales and valley line services,m,
4166,north wales coast services,m,
4167,coastway west services,m,
4168,coastway east services,m,
4169,midland mainline services,m,
4170,croydon tramlink services,m,
4171,west coast mainline services,m,
4172,lingfield races,m,
4173,catford stadium,m,
4174,selhurst park football stadium,m,
4175,the den football stadium,m,
4176,london underground services,m,
4177,NET,m,
4178,NWA,m,
4179,OKE,m,
4180,PTD,m,
4181,PRT,m,
4182,RDF,m,
4183,Rorsbey (?) - no idea,m,
4184,RHL,m,
4185,RNR,m,
4186,SAH,m,
4187,SHM,m,
4188,SPP,m,
4189,SHT,m,
4190,SPA,m,
4191,SPO,m,
4192,SPN,m,
4193,SAR,m,
4194,SLL,m,
4195,SSD,m,
4196,SMK,m,
4197,SUT,m,
4199,TTF,m,
4200,front of the train,e,
4201,middle of the train,e,
4202,rear of the train,e,
4203,a family carriage is available on this train,w,
4204,a weekend first facility is available on this train,w,
4205,im sorry therell be no catering facilities on this train today,w,
4206,return charter train,m,
4207,steam charter train,m,
4208,rugby special,m,
4209,first great western motorail,m,
4210,for seat reservation holders only,m,
4211,football special,m,
4212,would the superindendent of the line please go to the carriage depot,w,
4213,would mr neptune please go to the town centre immediately,w,
4214,would you please make your way to the front of the station,s,
4215,would you please make your way to the side of the station,s,
4216,would you please make your way to the rear of the station,s,
4217,for a replacement bus service,e,
4218,for a replacement taxi service,e,
4219,yellow zone,e,
4220,will all customers please have their tickets ready for examination,s,
4221,on leaving the station,e,
4237,is the,m,
4238,is the retimed,m,
4239,is the delayed,m,
4240,is the retimed delayed,m,
4241,should travel in the front,m,
4242,should travel in the middle,m,
4243,should travel in the rear,m,
4244,coaches of the train,e,
4245,the train now approaching platform,s,
4246,the train now standing at platform,s,
4247,this train terminates here,w,
4270,and will not arrive until,m,
4271,and will now depart at,m,
4279,by,m,
4294,may i have your attention please (2),w,
4295,would customers please note that a,s,
4296,occasionally older slam-door trains stop at this station,m,
4297,and these trains may convery first class accomodation,e,
4298,if a scheduled train stops at this station,s,
4299,which conveys first class accomodation,m,
4300,and you have a standard class ticket,m,
4301,please note,m,
4302,that you are invited to travel first class at no extra charge,e,
4303,there will be no extra charge for standard class ticket holders,m,
4304,travelling in first class accomodation,m,
4305,on scheduled trains from this station,e,
4306,thank you,w,
4307,please note that youre allowed to travel first class at no extra charger,w,
4308,please allow customers to alight from the train,s,
4309,please note this train will today be formed of,s,
4310,only,e,
4311,please note this train will today be formed of (2),s,
4312,today,e,
4313,please take care when alighting at,s,
4314,due to icy platforms,e,
4315,because of icy platforms at,s,
4316,please take extra care when leaving the train,e,
4317,before attempting to board,e,
4318,due to a fault on the station lighting,e,
4319,because of a fault with the station lighting at,s,
4320,please take extra care when alighting from the train,e,
4321,smoking is not permitted on this train,w,
4322,smoking is not permitted in any part of the train,w,
4323,smoking is not permitted on the station,w,
4324,smoking is not allowed on this train,w,
4325,smoking is not allowed in any part of the train,w,
4326,smoking is not allowed on the station,w,
4327,im sorry to inform you that,s,
4328,this service has been reported as full and standing,e,
4329,this service has been reported to be full and standing,e,
4330,please have your tickets ready for inspection on the train,w,
4331,please have your tickets and railcards ready for inspection on the train,w,
4332,please stand back from the edge of the platform,s,
4333,until your train comes to a complete halt,e,
4334,until your train comes to a complete stop,e,
4335,this train is fast to,s,
4336,please note that this trains journey has been amended,s,
4337,from the original timetable schedule,e,
4338,customers are advised that this service,s,
4339,will be stopping at additional stations on its journey today,e,
4340,customers for,s,
4341,should cross,m,
4342,via the footbridge,m,
4343,via,m,
4344,the subway,m,
4345,the train now at platform,s,
4346,terminates here,e,
4347,customers for the,s,
4348,middle,m,
4349,via the subway,m,
4350,please move right inside the carriages on the train at,s,
4351,to enable other customers to join the train,e,
4352,please move right inside the carriages,s,
4353,use all available doors,e,
4354,please stand clear of the doors at,s,
4355,this train is ready to leave,e,
4356,please stand away from the edge of,s,
4357,the approaching train is not in service from,m,
4358,would all customers please take care whilst using,s,
4359,station,e,
4360,as the platforms and concourse areas are very slippery,e,
4361,because the platform and concourse areas are very slippery,s,
4362,would all customers please take care whilst on the station,e,
4363,im sorry to inform you that,s,
4364,services to,m,
4365,are being delayed,e,
4366,in the direction of,m,
4367,are subject to delays,m,
4368,of up to,m,
4369,this is due to,s,
4370,this has been caused by,s,
4371,our maintenance staff have been called,e,
4372,our contractors are aware,e,
4373,everything is being done to keep your delay to a minimum,w,
4374,customers travelling to,s,
4375,im sorry to advise you that,m,
4376,have advised me that services on the,m,
